AAPL, STOCK
MSFT, STOCK
AMZN, STOCK
GOOG, STOCK
GOOGL, STOCK
FB, STOCK
TSLA, STOCK
BABA, STOCK
TSM, STOCK
V, STOCK
JPM, STOCK
JNJ, STOCK
WMT, STOCK
NVDA, STOCK
MA, STOCK
UNH, STOCK
HD, STOCK
PG, STOCK
BAC, STOCK
DIS, STOCK
PYPL, STOCK
ASML, STOCK
INTC, STOCK
CMCSA, STOCK
ADBE, STOCK
VZ, STOCK
XOM, STOCK
KO, STOCK
NFLX, STOCK
ORCL, STOCK
PFE, STOCK
CSCO, STOCK
ABT, STOCK
TM, STOCK
T, STOCK
CRM, STOCK
NKE, STOCK
PEP, STOCK
MRK, STOCK
NVS, STOCK
CVX, STOCK
ABBV, STOCK
TMO, STOCK
AVGO, STOCK
BHP, STOCK
ACN, STOCK
LLY, STOCK
WFC, STOCK
MDT, STOCK
TXN, STOCK
DHR, STOCK
MCD, STOCK
NVO, STOCK
SAP, STOCK
COST, STOCK
TMUS, STOCK
PDD, STOCK
HON, STOCK
BBL, STOCK
UPS, STOCK
QCOM, STOCK
NEE, STOCK
LIN, STOCK
UL, STOCK
AMGN, STOCK
UNP, STOCK
BMY, STOCK
MS, STOCK
C, STOCK
PM, STOCK
LOW, STOCK
SHOP, STOCK
AZN, STOCK
